split,segment_column,segment_value,threshold,row_count,positive_count,prevalence,pr_auc,roc_auc,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
test,vip_level,V3,0.75,558380,313318,0.5611196676098714,0.7602996532622808,0.7178505237698102,0.8314755142568099,0.28330641712254007,0.42261601527349946,0.19118879616032092,0.8088112038396791,106756,451624,0.9265859251944406,0.5027877172160913,88765,227071,17991,224553
test,vip_level,V3,0.8,558380,313318,0.5611196676098714,0.7602996532622808,0.7178505237698102,0.8592745935222322,0.19077103773163367,0.31222396631834076,0.12457645331136502,0.875423546688635,69561,488819,0.960055006488154,0.4813090325867039,59772,235273,9789,253546
test,vip_level,V3,0.85,558380,313318,0.5611196676098714,0.7602996532622808,0.7178505237698102,0.8860183235645592,0.09938784238377622,0.178727214288994,0.06294279881084566,0.9370572011891544,35146,523234,0.9836531163542287,0.46070400623812674,31140,241056,4006,282178
test,vip_level,V3,0.9,558380,313318,0.5611196676098714,0.7602996532622808,0.7178505237698102,0.9200716444643456,0.026232134764041643,0.05100992704444672,0.015998065833303484,0.9840019341666966,8933,549447,0.9970864515918421,0.44471623286686435,8219,244348,714,305099
test,vip_level,V3,0.95,558380,313318,0.5611196676098714,0.7602996532622808,0.7178505237698102,0.9539007092198581,0.0008585526525766154,0.0017155612244897959,0.0005050324152011175,0.9994949675847988,282,558098,0.9999469521998514,0.4390787997806837,269,245049,13,313049
test,vip_level,V4,0.05,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6211635620016497,1.0,0.7663181884432431,1.0,0.0,232768,0,0.0,0.0,144587,0,88181,0
test,vip_level,V4,0.1,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6211635620016497,1.0,0.7663181884432431,1.0,0.0,232768,0,0.0,0.0,144587,0,88181,0
test,vip_level,V4,0.15,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6211672717118123,0.9999930837488847,0.7663189806864678,0.9999871116304647,1.2888369535279942e-05,232765,3,2.268062280990236e-05,0.6666666666666666,144586,2,88179,1
test,vip_level,V4,0.2,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6219834988185774,0.9995089461708175,0.7667973703619201,0.9981913321418752,0.001808667858124835,232347,421,0.003969108991732913,0.831353919239905,144516,350,87831,71
test,vip_level,V4,0.25,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6241017471558934,0.9971159232849426,0.7676967765468289,0.9924216387132252,0.007578361286774804,231004,1764,0.01527539946246924,0.7636054421768708,144170,1347,86834,417
test,vip_level,V4,0.3,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6266135130763951,0.9914515136215566,0.7679010493949507,0.9828283956557602,0.01717160434423981,228771,3997,0.031310599789070206,0.6907680760570428,143351,2761,85420,1236
test,vip_level,V4,0.35,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6414235084562132,0.9663386058221002,0.7710497633927955,0.9358159197140501,0.06418408028594991,217828,14940,0.11423095678207323,0.6742302543507362,139720,10073,78108,4867
test,vip_level,V4,0.4,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6647350662833413,0.9211132397795099,0.7722003020823972,0.8607368710475667,0.1392631289524333,200352,32416,0.2382599426180243,0.6481367226061204,133181,21010,67171,11406
test,vip_level,V4,0.45,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.6957584367065245,0.860402387489885,0.7693706341279388,0.7681554165521034,0.2318445834478966,178802,53966,0.38309839988206074,0.6259867323870585,124403,33782,54399,20184
test,vip_level,V4,0.5,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.7286397201958119,0.7895868923208864,0.7578899849967471,0.6731208757217487,0.3268791242782513,156681,76087,0.5178439799956907,0.6001550856256653,114164,45664,42517,30423
test,vip_level,V4,0.55,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.7533085533684819,0.7302800390076563,0.7416155699305366,0.6021746975529282,0.3978253024470718,140167,92601,0.6078747122395981,0.5788598395265709,105589,53603,34578,38998
test,vip_level,V4,0.6,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.7824254644014015,0.6548721530981347,0.7129889346129373,0.5198996425625515,0.4801003574374485,121016,111752,0.7014096007076355,0.5534666046245257,94686,61851,26330,49901
test,vip_level,V4,0.65,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.8100085066439823,0.5729560748891671,0.6711658429879284,0.43937740582897994,0.5606225941710201,102273,130495,0.7796464090903936,0.5268401088164297,82842,68750,19431,61745
