split,segment_column,segment_value,threshold,row_count,positive_count,prevalence,pr_auc,roc_auc,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
test,vip_level,GLOBAL,0.65,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.7809748208992263,0.39145351952497076,0.5215079365802003,0.25735858167237846,0.7426414183276215,366693,1058140,0.8841483028660367,0.5792636135104996,286378,612942,80315,445198
test,vip_level,GLOBAL,0.7,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.8092612029245904,0.3109109648211532,0.44923126754693915,0.1972617141798372,0.8027382858201628,281065,1143768,0.9226693708105363,0.5592454064110903,227455,639647,53610,504121
test,vip_level,GLOBAL,0.75,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.8379799539654692,0.2343912320797839,0.3663193424517066,0.143616129048106,0.856383870951894,204629,1220204,0.9521764655820281,0.5409775742416841,171475,660103,33154,560101
test,vip_level,GLOBAL,0.8,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.8668784972317038,0.16072971229236607,0.27117948292184557,0.09519922685676147,0.9048007731432386,135643,1289190,0.973953382367578,0.5237397125326756,117586,675200,18057,613990
test,vip_level,GLOBAL,0.85,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.8953171757474456,0.09079029383139961,0.16486257728708972,0.05206645270007081,0.9479335472999292,74186,1350647,0.9887978051429701,0.5075278736783186,66420,685491,7766,665156
test,vip_level,GLOBAL,0.9,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.9305799648506151,0.03184631535206185,0.06158506605763588,0.01757118202624448,0.9824288179737555,25036,1399797,0.997492993218965,0.49401377485449677,23298,691519,1738,708278
test,vip_level,GLOBAL,0.95,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.9670953101361573,0.0034951939374719783,0.006965214785759037,0.0018556560663600577,0.9981443439336399,2644,1422189,0.999874505414298,0.48739654152858725,2557,693170,87,729019
validation,vip_level,GLOBAL,0.05,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.5256950859609395,0.9999595690684714,0.6891124801880939,0.9971663952079798,0.0028336047920202168,611615,1738,0.00591123889286779,0.9925201380897584,321523,1725,290092,13
validation,vip_level,GLOBAL,0.1,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.5272801229471226,0.9998227259156051,0.690440267646304,0.9940328000352162,0.005967199964783787,609693,3660,0.01234677897449429,0.9844262295081967,321479,3603,288214,57
validation,vip_level,GLOBAL,0.15,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.529695270298132,0.9987715216958599,0.6922552114600926,0.9884601526364101,0.011539847363589928,606275,7078,0.02290133885277417,0.9441932749364227,321141,6683,285134,395
validation,vip_level,GLOBAL,0.2,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.5361041029069397,0.992613579816879,0.6961968436092357,0.9706221376597164,0.02937786234028361,595334,18019,0.05360893984928911,0.8681946833897553,319161,15644,276173,2375
validation,vip_level,GLOBAL,0.25,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.550012655201991,0.9732098427547771,0.7028227726419247,0.9275833003180877,0.07241669968191233,568936,44417,0.12268990497469304,0.806065245288966,312922,35803,256014,8614
validation,vip_level,GLOBAL,0.3,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.5679489734151945,0.9396303990843949,0.7079721708647044,0.8672950160837234,0.1327049839162766,531958,81395,0.21240709074522732,0.7615209779470483,302125,61984,229833,19411
validation,vip_level,GLOBAL,0.35,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.5939897805327525,0.8821469446656051,0.7099427324242606,0.7785402533288335,0.22145974667116652,477520,135833,0.3356178701035238,0.7210250822701405,283642,97939,193878,37894
validation,vip_level,GLOBAL,0.4,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.6229023978740793,0.8106588375796179,0.7044851957458884,0.6822400803452497,0.31775991965475026,418454,194899,0.45925700010623094,0.6876330817500347,260656,134019,157798,60880
