rows,positives,positive_rate,score_mean,pr_auc,roc_auc,brier,threshold,row_count,positive_count,prevalence,brier_score,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count,model_name,split,segment_column,segment_value
745256,291176,0.39070601243062786,0.38469133396829125,0.5803533413251952,0.694022458216655,0.21126406829582495,0.5,745256,291176,0.39070601243062786,0.21126406829582495,0.6098269281755011,0.3396777206912658,0.4363214466112144,0.2176258896271885,0.7823741103728115,162187,583069,0.860639094432699,0.6702448595277746,98906,390799,63281,192270,lightgbm,train,vip_level,V1
515668,294350,0.570813003715569,0.5629225835845604,0.8011151682342287,0.7528751291621543,0.19890294443080292,0.5,515668,294350,0.570813003715569,0.19890294443080292,0.7252264801345287,0.7340445048411754,0.7296088498832476,0.5777535158280134,0.4222464841719866,297929,217739,0.6301114233817403,0.640468634466035,216066,139455,81863,78284,lightgbm,train,vip_level,V4
256098,133626,0.5217768198111661,0.5164749558239992,0.7023595183701664,0.694377048348403,0.22094297317863493,0.5,256098,133626,0.5217768198111661,0.22094297317863493,0.6556032974152375,0.6588463323006002,0.6572208142195414,0.5243578630055682,0.4756421369944318,134287,121811,0.6223789927493631,0.6257562945875167,88039,76224,46248,45587,lightgbm,train,vip_level,V2
54698,33153,0.6061099126110644,0.5952044569377132,0.8278777437030816,0.7606766974614633,0.19224593768376594,0.5,54698,33153,0.6061099126110644,0.19224593768376594,0.7479767769176636,0.7694326305311736,0.7585530130692716,0.6234962887125672,0.37650371128743276,34104,20594,0.6010675330703179,0.628823929299796,25509,12950,8595,7644,lightgbm,train,vip_level,V5
5358,3351,0.6254199328107503,0.6053958473138819,0.8515970995579902,0.7754771906206522,0.1844756590610928,0.5,5358,3351,0.6254199328107503,0.1844756590610928,0.7656069364161849,0.7905102954341987,0.7778593451769197,0.6457633445315416,0.3542366554684584,3460,1898,0.5959142999501744,0.6301369863013698,2649,1196,811,702,lightgbm,train,vip_level,V6
2008,1195,0.5951195219123506,0.5651972820727711,0.8492438565274705,0.7818261822785592,0.1866211408165553,0.5,2008,1195,0.5951195219123506,0.1866211408165553,0.7575503355704698,0.7556485355648536,0.7565982404692082,0.5936254980079682,0.40637450199203184,1192,816,0.6445264452644527,0.6421568627450981,903,524,289,292,lightgbm,train,vip_level,V7
1764,1030,0.5839002267573696,0.5608943116729206,0.8254905249193476,0.760723261289384,0.19614535917047343,0.5,1764,1030,0.5839002267573696,0.19614535917047343,0.732943469785575,0.7300970873786408,0.7315175097276264,0.5816326530612245,0.41836734693877553,1026,738,0.6267029972752044,0.6233062330623306,752,460,274,278,lightgbm,train,vip_level,V8
373,65,0.1742627345844504,0.2222914492162026,0.19212831495201935,0.5161088911088911,0.14693708724616864,0.5,373,65,0.1742627345844504,0.14693708724616864,0.0,0.0,0.0,0.0,1.0,0,373,1.0,0.8257372654155496,0,308,0,65,lightgbm,train,vip_level,UNKNOWN
233189,131890,0.5655927166375773,0.5579638774604936,0.7685938964426202,0.7209027334814608,0.21019947956961893,0.5,233189,131890,0.5655927166375773,0.21019947956961893,0.7023372162485065,0.7131473197361438,0.7077009894285392,0.5742981015399525,0.42570189846004747,133920,99269,0.6064818013998163,0.6188840423495754,94057,61436,39863,37833,lightgbm,validation,vip_level,V3
193980,81483,0.42005876894525207,0.3994897052916789,0.6057141113033997,0.6833718182042159,0.21849502207327945,0.5,193980,81483,0.42005876894525207,0.21849502207327945,0.6297416593847326,0.3449308444706258,0.4457237102938611,0.2300804206619239,0.7699195793380761,44631,149349,0.853107193969617,0.6426022269985069,28106,95972,16525,53377,lightgbm,validation,vip_level,V1
107670,64961,0.6033342620971487,0.5946659476880318,0.8183624761321646,0.7493233332766813,0.19647592461904123,0.5,107670,64961,0.6033342620971487,0.19647592461904123,0.7321864805956613,0.7705084589215068,0.750858822999955,0.6349122318194483,0.36508776818055166,68361,39309,0.571331569458428,0.6207484291129258,50053,24401,18308,14908,lightgbm,validation,vip_level,V4
65958,35107,0.532262955213924,0.5266356406902485,0.6999735082245088,0.6831749109110727,0.22385758331152542,0.5,65958,35107,0.532262955213924,0.22385758331152542,0.6536550154085344,0.6706354858005525,0.6620363861316537,0.5460899360198914,0.4539100639801086,36019,29939,0.5956370944215746,0.6137813554226929,23544,18376,12475,11563,lightgbm,validation,vip_level,V2
10444,6730,0.6443891229414017,0.6319713662700895,0.8321066812722703,0.733611926600366,0.1951149304139226,0.5,10444,6730,0.6443891229414017,0.1951149304139226,0.7398607128226137,0.8050520059435364,0.7710809079911762,0.7011681348142474,0.29883186518575255,7323,3121,0.48707592891760904,0.5796219160525473,5418,1809,1905,1312,lightgbm,validation,vip_level,V5
1207,831,0.6884838442419221,0.628302515139979,0.8664453150813718,0.7591356863046317,0.18028777535013665,0.5,1207,831,0.6884838442419221,0.18028777535013665,0.8029020556227328,0.7990373044524669,0.8009650180940893,0.6851698425849213,0.3148301574150787,827,380,0.5664893617021277,0.5605263157894737,664,213,163,167,lightgbm,validation,vip_level,V6
427,259,0.6065573770491803,0.5741179151106456,0.7942257522767806,0.712998712998713,0.21190501054620486,0.5,427,259,0.6065573770491803,0.21190501054620486,0.7106227106227107,0.749034749034749,0.7293233082706767,0.639344262295082,0.360655737704918,273,154,0.5297619047619048,0.577922077922078,194,89,79,65,lightgbm,validation,vip_level,V7
421,267,0.6342042755344418,0.5972760850178104,0.8803654877617818,0.8043314363539084,0.17436439645795984,0.5,421,267,0.6342042755344418,0.17436439645795984,0.7720588235294118,0.7865168539325843,0.7792207792207793,0.6460807600950119,0.3539192399049881,272,149,0.5974025974025974,0.6174496644295302,210,92,62,57,lightgbm,validation,vip_level,V8
