rows,positives,positive_rate,score_mean,pr_auc,roc_auc,brier,threshold,row_count,positive_count,prevalence,brier_score,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count,model_name,split,segment_column,segment_value
515668,294350,0.570813003715569,0.5637964435252504,0.7770025043596918,0.723934008446054,0.2104203021938344,0.45,515668,294350,0.570813003715569,0.2104203021938344,0.6520663300411784,0.8370817054526923,0.7330806375312771,0.732773800197026,0.267226199802974,377868,137800,0.4059543281612883,0.6519956458635704,246395,89845,131473,47955,logistic_regression,train,vip_level,V4
256098,133626,0.5217768198111661,0.5141656897629717,0.6802751491003978,0.6740493135046038,0.22791066099337437,0.45,256098,133626,0.5217768198111661,0.22791066099337437,0.59381572955743,0.8197506473291126,0.688727231573057,0.7203023842435318,0.27969761575646823,184468,71630,0.38820301783264743,0.663744241239704,109540,47544,74928,24086,logistic_regression,train,vip_level,V2
54698,33153,0.6061099126110644,0.5993815004758726,0.8032910540911938,0.7317031186526022,0.2037695163234126,0.45,54698,33153,0.6061099126110644,0.2037695163234126,0.6696115942028985,0.8710222302657377,0.7571514722462571,0.7884200519214597,0.2115799480785403,43125,11573,0.33868647017869574,0.6305193121921714,28877,7297,14248,4276,logistic_regression,train,vip_level,V5
5358,3351,0.6254199328107503,0.6188535140949136,0.8208838592679508,0.7416148820816191,0.1978210144944957,0.45,5358,3351,0.6254199328107503,0.1978210144944957,0.6866604909680407,0.8848105043270665,0.7732429260659799,0.8058977230309817,0.19410227696901827,4318,1040,0.32585949177877427,0.6288461538461538,2965,654,1353,386,logistic_regression,train,vip_level,V6
2008,1195,0.5951195219123506,0.5883473130880296,0.8246930164497541,0.7490424946090465,0.20057310189292832,0.45,2008,1195,0.5951195219123506,0.20057310189292832,0.6868686868686869,0.8535564853556485,0.7611940298507462,0.7395418326693227,0.2604581673306773,1485,523,0.4280442804428044,0.6653919694072657,1020,348,465,175,logistic_regression,train,vip_level,V7
1764,1030,0.5839002267573696,0.576569150023267,0.7853983059898506,0.7055858310626704,0.2151978849285339,0.45,1764,1030,0.5839002267573696,0.2151978849285339,0.6484375,0.8058252427184466,0.7186147186147186,0.7256235827664399,0.2743764172335601,1280,484,0.3869209809264305,0.5867768595041323,830,284,450,200,logistic_regression,train,vip_level,V8
373,65,0.1742627345844504,0.17268868704771803,0.18746017952352376,0.5344655344655345,0.14464614001109022,0.45,373,65,0.1742627345844504,0.14464614001109022,0.0,0.0,0.0,0.0,1.0,0,373,1.0,0.8257372654155496,0,308,0,65,logistic_regression,train,vip_level,UNKNOWN
233189,131890,0.5655927166375773,0.5568798811552154,0.7531396468097703,0.7049238305923231,0.21635743518285314,0.45,233189,131890,0.5655927166375773,0.21635743518285314,0.6352843122246602,0.8495488664796421,0.7269571761774848,0.7563521435402184,0.2436478564597816,176373,56816,0.3649887955458593,0.6507497887918896,112047,36973,64326,19843,logistic_regression,validation,vip_level,V3
193980,81483,0.42005876894525207,0.3882156859770097,0.5683765762900334,0.6514354260930745,0.22978466103211395,0.45,193980,81483,0.42005876894525207,0.22978466103211395,0.6104706427161276,0.3073892713817606,0.4088905576596578,0.2115114960305186,0.7884885039694813,41029,152951,0.8579339893508271,0.6310190845434158,25047,96515,15982,56436,logistic_regression,validation,vip_level,V1
107670,64961,0.6033342620971487,0.5808518013275279,0.7996710041632449,0.7275231774992931,0.20574901613808028,0.45,107670,64961,0.6033342620971487,0.20574901613808028,0.6756193116750046,0.8627638121334339,0.7578084858974012,0.7704560230333426,0.2295439769666574,82955,24715,0.3699454447540331,0.6392878818531257,56046,15800,26909,8915,logistic_regression,validation,vip_level,V4
65958,35107,0.532262955213924,0.5193374277695599,0.675739834767155,0.6624925986836889,0.23057710783923385,0.45,65958,35107,0.532262955213924,0.23057710783923385,0.5949250806352836,0.8301193494174951,0.6931135766353917,0.7426847387731587,0.25731526122684134,48986,16972,0.3568117727140125,0.6485976903134575,29143,11008,19843,5964,logistic_regression,validation,vip_level,V2
10444,6730,0.6443891229414017,0.6187230959790975,0.8039942542117113,0.7093195018887613,0.2046528237998757,0.45,10444,6730,0.6443891229414017,0.2046528237998757,0.6971368223421732,0.8827637444279346,0.7790453710988723,0.815970892378399,0.18402910762160096,8522,1922,0.3050619278406031,0.5894901144640999,5941,1133,2581,789,logistic_regression,validation,vip_level,V5
1207,831,0.6884838442419221,0.6292928432002644,0.8361741671056306,0.7127947615024196,0.19825772200561642,0.45,1207,831,0.6884838442419221,0.19825772200561642,0.7507820646506778,0.8664259927797834,0.8044692737430168,0.7945318972659486,0.20546810273405136,959,248,0.36436170212765956,0.5524193548387096,720,137,239,111,logistic_regression,validation,vip_level,V6
427,259,0.6065573770491803,0.5878599824954597,0.7651991168215047,0.69215388858246,0.2179088968751463,0.45,427,259,0.6065573770491803,0.2179088968751463,0.6656346749226006,0.8301158301158301,0.738831615120275,0.7564402810304449,0.24355971896955508,323,104,0.35714285714285715,0.5769230769230769,215,60,108,44,logistic_regression,validation,vip_level,V7
421,267,0.6342042755344418,0.5954871190606625,0.8533730257449288,0.7524198647794154,0.19857910426483222,0.45,421,267,0.6342042755344418,0.19857910426483222,0.7088607594936709,0.8389513108614233,0.7684391080617495,0.7505938242280285,0.24940617577197155,316,105,0.4025974025974026,0.5904761904761905,224,62,92,43,logistic_regression,validation,vip_level,V8
